video_id,window_config,window_lead,window_tail,window_total,audio_threshold,visual_threshold,top_percentile,true_peaks,duration_secs,ai_windows_after_audio,ai_windows_after_visual,recall_pct,noise_pct,pruned_pct,rand_recall_pct,rand_noise_pct,rand_pruned_pct,uniform_recall_pct,uniform_noise_pct,uniform_pruned_pct,recall_delta_vs_random,recall_delta_vs_uniform
0guSWBSO8lo,compact_40s,30,10,40,0.5,150,0.15,13,461,5,2,0.0,100.0,77.0,23.1,50.0,82.6,0.0,100.0,82.6,-23.1,0.0
0guSWBSO8lo,tight_25s,20,5,25,0.5,150,0.15,13,461,5,2,0.0,100.0,81.3,15.4,50.0,89.2,0.0,100.0,89.2,-15.4,0.0
0guSWBSO8lo,minimal_20s,15,5,20,0.5,150,0.15,13,461,5,2,0.0,100.0,82.4,7.7,50.0,91.3,0.0,100.0,91.3,-7.7,0.0
_fWyWcZB7VA,original_60s,45,15,60,0.5,150,0.15,14,1428,7,0,0.0,0.0,100.0,0.0,100.0,95.8,0.0,100.0,95.8,0.0,0.0
_fWyWcZB7VA,compact_40s,30,10,40,0.5,150,0.15,14,1428,10,0,0.0,0.0,100.0,0.0,100.0,95.8,0.0,100.0,95.8,0.0,0.0
_fWyWcZB7VA,tight_25s,20,5,25,0.5,150,0.15,14,1428,13,0,0.0,0.0,100.0,0.0,100.0,95.8,0.0,100.0,95.8,0.0,0.0
_fWyWcZB7VA,minimal_20s,15,5,20,0.5,150,0.15,14,1428,14,0,0.0,0.0,100.0,0.0,100.0,95.8,0.0,100.0,95.8,0.0,0.0
0bGQ_I5NXXo,original_60s,45,15,60,0.5,150,0.15,13,908,4,4,84.6,50.0,11.6,30.8,25.0,73.6,30.8,25.0,73.6,53.8,53.8
0bGQ_I5NXXo,compact_40s,30,10,40,0.5,150,0.15,13,908,5,5,76.9,40.0,20.6,15.4,60.0,78.0,7.7,80.0,78.0,61.5,69.2
0bGQ_I5NXXo,tight_25s,20,5,25,0.5,150,0.15,13,908,16,15,53.8,73.3,44.8,46.2,60.0,58.7,61.5,60.0,58.7,7.6,-7.7
0bGQ_I5NXXo,minimal_20s,15,5,20,0.5,150,0.15,13,908,21,20,46.2,80.0,50.4,46.2,60.0,55.9,53.8,75.0,55.9,0.0,-7.6
Ug-nsXBgCJk,original_60s,45,15,60,0.5,150,0.15,13,993,2,2,100.0,0.0,2.1,46.2,0.0,87.9,23.1,0.0,87.9,53.8,76.9
Ug-nsXBgCJk,compact_40s,30,10,40,0.5,150,0.15,13,993,7,7,100.0,28.6,8.7,46.2,28.6,71.8,15.4,71.4,71.8,53.8,84.6
Ug-nsXBgCJk,tight_25s,20,5,25,0.5,150,0.15,13,993,19,19,76.9,63.2,26.4,38.5,68.4,52.2,53.8,63.2,52.2,38.4,23.1
Ug-nsXBgCJk,minimal_20s,15,5,20,0.5,150,0.15,13,993,26,26,61.5,76.9,37.3,30.8,80.8,47.6,53.8,76.9,47.6,30.7,7.7
4JB24wITVEU,original_60s,45,15,60,0.5,150,0.15,13,684,3,3,92.3,33.3,30.2,61.5,66.7,73.7,38.5,33.3,73.7,30.8,53.8
4JB24wITVEU,compact_40s,30,10,40,0.5,150,0.15,13,684,4,4,92.3,50.0,39.2,46.2,75.0,76.6,53.8,25.0,76.6,46.1,38.5
4JB24wITVEU,tight_25s,20,5,25,0.5,150,0.15,13,684,11,8,23.1,75.0,65.7,46.2,75.0,70.8,30.8,87.5,70.8,-23.1,-7.7
4JB24wITVEU,minimal_20s,15,5,20,0.5,150,0.15,13,684,13,10,23.1,80.0,71.7,53.8,60.0,70.8,38.5,70.0,70.8,-30.7,-15.4
5Q5QWdR42Is,original_60s,45,15,60,0.5,150,0.15,13,624,1,1,100.0,0.0,5.1,0.0,100.0,90.4,0.0,100.0,90.4,100.0,100.0
5Q5QWdR42Is,compact_40s,30,10,40,0.5,150,0.15,13,624,5,5,92.3,60.0,9.2,46.2,80.0,67.9,76.9,60.0,67.9,46.1,15.4
5Q5QWdR42Is,tight_25s,20,5,25,0.5,150,0.15,13,624,12,11,76.9,72.7,30.9,46.2,72.7,55.9,30.8,81.8,55.9,30.7,46.1
5Q5QWdR42Is,minimal_20s,15,5,20,0.5,150,0.15,13,624,16,15,61.5,73.3,40.9,38.5,80.0,51.9,53.8,80.0,51.9,23.0,7.7
pqnhlrlrfmw,original_60s,45,15,60,0.5,150,0.15,14,4538,26,20,57.1,70.0,63.4,14.3,90.0,73.6,21.4,85.0,73.6,42.8,35.7
pqnhlrlrfmw,compact_40s,30,10,40,0.5,150,0.15,14,4538,33,26,42.9,76.9,72.3,0.0,100.0,77.1,42.9,76.9,77.1,42.9,0.0
pqnhlrlrfmw,tight_25s,20,5,25,0.5,150,0.15,14,4538,39,30,21.4,90.0,81.1,0.0,100.0,83.5,14.3,93.3,83.5,21.4,7.1
pqnhlrlrfmw,minimal_20s,15,5,20,0.5,150,0.15,14,4538,44,33,28.6,87.9,85.1,0.0,100.0,85.5,21.4,90.9,85.5,28.6,7.2
IEfBBYmxtIo,original_60s,45,15,60,0.5,150,0.15,14,2246,10,6,14.3,66.7,80.4,7.1,83.3,84.0,7.1,83.3,84.0,7.2,7.2
IEfBBYmxtIo,compact_40s,30,10,40,0.5,150,0.15,14,2246,11,6,14.3,66.7,87.6,7.1,83.3,89.3,7.1,83.3,89.3,7.2,7.2
IEfBBYmxtIo,tight_25s,20,5,25,0.5,150,0.15,14,2246,12,6,14.3,66.7,93.3,7.1,83.3,93.3,7.1,83.3,93.3,7.2,7.2
