video_id,audio_threshold,visual_threshold,top_percentile,true_peaks,ai_windows_after_audio,ai_windows_after_visual,captured,missed,recall_pct,noise_pct,pruned_pct
8PtsKRBgLrA,0.4,350,0.15,13,2,2,13,0,100.0,50.0,5.5
8PtsKRBgLrA,0.5,150,0.05,4,5,5,4,0,100.0,60.0,27.5
8PtsKRBgLrA,0.5,150,0.1,9,5,5,8,1,88.9,40.0,27.5
8PtsKRBgLrA,0.5,150,0.15,13,5,5,12,1,92.3,40.0,27.5
8PtsKRBgLrA,0.5,200,0.05,4,5,5,4,0,100.0,60.0,27.5
8PtsKRBgLrA,0.5,200,0.1,9,5,5,8,1,88.9,40.0,27.5
8PtsKRBgLrA,0.5,200,0.15,13,5,5,12,1,92.3,40.0,27.5
8PtsKRBgLrA,0.5,250,0.05,4,5,5,4,0,100.0,60.0,27.5
8PtsKRBgLrA,0.5,250,0.1,9,5,5,8,1,88.9,40.0,27.5
8PtsKRBgLrA,0.5,250,0.15,13,5,5,12,1,92.3,40.0,27.5
8PtsKRBgLrA,0.5,300,0.05,4,5,5,4,0,100.0,60.0,27.5
8PtsKRBgLrA,0.5,300,0.1,9,5,5,8,1,88.9,40.0,27.5
8PtsKRBgLrA,0.5,300,0.15,13,5,5,12,1,92.3,40.0,27.5
8PtsKRBgLrA,0.5,350,0.05,4,5,5,4,0,100.0,60.0,27.5
8PtsKRBgLrA,0.5,350,0.1,9,5,5,8,1,88.9,40.0,27.5
8PtsKRBgLrA,0.5,350,0.15,13,5,5,12,1,92.3,40.0,27.5
8PtsKRBgLrA,0.6,150,0.05,4,6,6,3,1,75.0,66.7,47.7
8PtsKRBgLrA,0.6,150,0.1,9,6,6,6,3,66.7,50.0,47.7
8PtsKRBgLrA,0.6,150,0.15,13,6,6,9,4,69.2,50.0,47.7
8PtsKRBgLrA,0.6,200,0.05,4,6,6,3,1,75.0,66.7,47.7
8PtsKRBgLrA,0.6,200,0.1,9,6,6,6,3,66.7,50.0,47.7
8PtsKRBgLrA,0.6,200,0.15,13,6,6,9,4,69.2,50.0,47.7
8PtsKRBgLrA,0.6,250,0.05,4,6,6,3,1,75.0,66.7,47.7
8PtsKRBgLrA,0.6,250,0.1,9,6,6,6,3,66.7,50.0,47.7
8PtsKRBgLrA,0.6,250,0.15,13,6,6,9,4,69.2,50.0,47.7
8PtsKRBgLrA,0.6,300,0.05,4,6,6,3,1,75.0,66.7,47.7
8PtsKRBgLrA,0.6,300,0.1,9,6,6,6,3,66.7,50.0,47.7
8PtsKRBgLrA,0.6,300,0.15,13,6,6,9,4,69.2,50.0,47.7
8PtsKRBgLrA,0.6,350,0.05,4,6,6,3,1,75.0,66.7,47.7
8PtsKRBgLrA,0.6,350,0.1,9,6,6,6,3,66.7,50.0,47.7
8PtsKRBgLrA,0.6,350,0.15,13,6,6,9,4,69.2,50.0,47.7
8PtsKRBgLrA,0.7,150,0.05,4,5,5,3,1,75.0,60.0,62.0
8PtsKRBgLrA,0.7,150,0.1,9,5,5,6,3,66.7,40.0,62.0
8PtsKRBgLrA,0.7,150,0.15,13,5,5,9,4,69.2,40.0,62.0
8PtsKRBgLrA,0.7,200,0.05,4,5,5,3,1,75.0,60.0,62.0
8PtsKRBgLrA,0.7,200,0.1,9,5,5,6,3,66.7,40.0,62.0
8PtsKRBgLrA,0.7,200,0.15,13,5,5,9,4,69.2,40.0,62.0
8PtsKRBgLrA,0.7,250,0.05,4,5,5,3,1,75.0,60.0,62.0
8PtsKRBgLrA,0.7,250,0.1,9,5,5,6,3,66.7,40.0,62.0
8PtsKRBgLrA,0.7,250,0.15,13,5,5,9,4,69.2,40.0,62.0
8PtsKRBgLrA,0.7,300,0.05,4,5,5,3,1,75.0,60.0,62.0
8PtsKRBgLrA,0.7,300,0.1,9,5,5,6,3,66.7,40.0,62.0
8PtsKRBgLrA,0.7,300,0.15,13,5,5,9,4,69.2,40.0,62.0
8PtsKRBgLrA,0.7,350,0.05,4,5,5,3,1,75.0,60.0,62.0
8PtsKRBgLrA,0.7,350,0.1,9,5,5,6,3,66.7,40.0,62.0
8PtsKRBgLrA,0.7,350,0.15,13,5,5,9,4,69.2,40.0,62.0
8PtsKRBgLrA,0.8,150,0.05,4,3,3,1,3,25.0,66.7,79.0
8PtsKRBgLrA,0.8,150,0.1,9,3,3,2,7,22.2,66.7,79.0
8PtsKRBgLrA,0.8,150,0.15,13,3,3,2,11,15.4,66.7,79.0
8PtsKRBgLrA,0.8,200,0.05,4,3,3,1,3,25.0,66.7,79.0
8PtsKRBgLrA,0.8,200,0.1,9,3,3,2,7,22.2,66.7,79.0
8PtsKRBgLrA,0.8,200,0.15,13,3,3,2,11,15.4,66.7,79.0
8PtsKRBgLrA,0.8,250,0.05,4,3,3,1,3,25.0,66.7,79.0
8PtsKRBgLrA,0.8,250,0.1,9,3,3,2,7,22.2,66.7,79.0
8PtsKRBgLrA,0.8,250,0.15,13,3,3,2,11,15.4,66.7,79.0
