audio_threshold,visual_threshold,top_percentile,window_lead,window_tail,window_total,mean_recall,std_recall,mean_noise,std_noise,mean_pruned,std_pruned,mean_recall_delta_vs_random,mean_recall_delta_vs_uniform,n_videos
0.5,250,0.15,20,5,25,42.06,29.59,57.13,26.19,63.49,26.18,19.3,16.04,32
0.5,250,0.1,20,5,25,40.97,31.6,67.29,27.55,63.49,26.18,15.59,16.81,32
0.4,300,0.05,15,5,20,40.62,36.84,84.27,27.83,56.31,27.78,10.16,11.72,32
0.5,200,0.05,20,5,25,40.62,39.4,80.21,27.72,62.33,26.41,14.84,16.41,32
0.6,150,0.05,45,15,60,40.62,39.9,60.06,38.28,61.9,32.29,17.19,17.97,32
0.4,300,0.1,15,5,20,39.89,29.96,74.85,29.86,56.31,27.78,10.03,9.68,32
0.4,350,0.05,15,5,20,39.84,37.43,84.38,27.89,56.87,28.11,10.16,11.72,32
0.5,300,0.15,20,5,25,39.82,29.71,57.04,28.66,64.85,26.48,17.28,15.6,32
0.4,350,0.1,15,5,20,39.54,30.1,74.87,29.87,56.87,28.11,10.03,8.64,32
0.5,250,0.05,20,5,25,39.06,37.99,77.19,30.77,63.49,26.18,14.06,14.84,32
0.5,350,0.15,20,5,25,38.92,30.24,57.19,28.73,65.54,27.06,17.06,13.59,32
0.5,300,0.1,20,5,25,38.88,31.67,67.34,28.71,64.85,26.48,13.85,16.8,32
0.6,150,0.1,45,15,60,38.62,36.7,49.46,36.81,61.9,32.29,17.18,13.85,32
0.5,150,0.15,15,5,20,38.41,24.39,66.07,24.33,65.92,24.48,15.88,7.76,32
0.5,150,0.05,15,5,20,38.28,35.35,82.73,27.79,65.92,24.48,11.72,7.03,32
0.6,200,0.05,45,15,60,38.28,38.01,56.95,38.95,63.77,30.56,14.84,16.41,32
0.5,200,0.15,15,5,20,37.96,23.91,65.0,24.44,67.13,23.27,15.88,8.63,32
0.6,150,0.15,45,15,60,37.95,34.78,36.45,33.55,61.9,32.29,18.93,15.68,32
0.5,350,0.1,20,5,25,37.84,32.49,69.51,28.63,65.54,27.06,13.85,14.72,32
0.5,150,0.1,15,5,20,37.76,27.46,74.9,25.86,65.92,24.48,11.94,7.51,32
0.5,300,0.05,20,5,25,37.5,38.53,77.57,30.98,64.85,26.48,12.5,15.62,32
0.5,350,0.05,20,5,25,37.5,38.53,77.57,30.98,65.54,27.06,13.28,15.62,32
0.5,200,0.1,15,5,20,37.07,26.71,74.66,25.8,67.13,23.27,11.6,7.51,32
0.5,200,0.05,15,5,20,36.72,34.79,82.79,27.83,67.13,23.27,10.94,7.81,32
0.6,250,0.05,45,15,60,36.72,38.01,57.16,38.68,65.09,30.41,13.28,15.62,32
0.6,200,0.1,45,15,60,36.54,35.01,46.3,36.5,63.77,30.56,16.14,12.81,32
0.6,200,0.15,45,15,60,36.14,32.98,33.81,32.21,63.77,30.56,18.06,13.67,32
0.5,250,0.15,15,5,20,36.13,24.3,63.47,26.87,68.22,23.13,14.27,6.84,32
0.5,250,0.05,15,5,20,35.94,34.76,79.75,31.16,68.22,23.13,10.16,4.69,32
0.5,250,0.1,15,5,20,35.68,27.3,71.62,28.65,68.22,23.13,10.56,6.82,32
0.6,150,0.1,30,10,40,34.93,34.38,57.59,36.51,66.06,28.61,12.45,12.55,32
0.6,250,0.1,45,15,60,34.8,35.4,47.34,36.59,65.09,30.41,14.4,11.42,32
