video_id,audio_method,face_detection,audio_threshold,visual_threshold,top_percentile,window_lead,window_tail,true_peaks,ai_windows_after_audio,ai_windows_after_visual,recall_pct,noise_pct,pruned_pct
EiL5bMvDkNA,rms,True,0.4,200,0.15,45,15,13,2,1,61.5,0.0,24.9
VgxHwN6qZxo,rms,True,0.4,200,0.15,45,15,13,1,0,0.0,0.0,100.0
ikr-zKaxSF0,rms,True,0.4,200,0.15,45,15,13,1,1,100.0,0.0,0.0
pzPCJj1U8bE,rms,True,0.4,200,0.15,45,15,13,1,1,100.0,0.0,0.0
GxLa6rdww8g,rms,True,0.4,200,0.15,45,15,14,1,0,0.0,0.0,100.0
pjSxOnCkHIA,rms,True,0.4,200,0.15,45,15,13,1,0,0.0,0.0,100.0
g1T8-WSYcdI,rms,True,0.4,200,0.15,45,15,13,1,1,100.0,0.0,0.0
0guSWBSO8lo,rms,True,0.4,200,0.15,45,15,13,1,1,100.0,0.0,0.0
_fWyWcZB7VA,rms,True,0.4,200,0.15,45,15,14,1,0,0.0,0.0,100.0
0bGQ_I5NXXo,rms,True,0.4,200,0.15,45,15,13,1,0,0.0,0.0,100.0
Ug-nsXBgCJk,rms,True,0.4,200,0.15,45,15,13,1,1,100.0,0.0,0.0
4JB24wITVEU,rms,True,0.4,200,0.15,45,15,13,1,1,100.0,0.0,0.0
5Q5QWdR42Is,rms,True,0.4,200,0.15,45,15,13,1,1,100.0,0.0,0.0
pqnhlrlrfmw,rms,True,0.4,200,0.15,45,15,14,1,1,100.0,0.0,0.0
IEfBBYmxtIo,rms,True,0.4,200,0.15,45,15,14,1,0,0.0,0.0,100.0
IcAV5qiko8M,rms,True,0.4,200,0.15,45,15,14,1,0,0.0,0.0,100.0
DZ6q5X7fAmU,rms,True,0.4,200,0.15,45,15,13,1,1,100.0,0.0,0.1
t8HrZTLRCeU,rms,True,0.4,200,0.15,45,15,14,1,0,0.0,0.0,100.0
MIoNEQeC7_s,rms,True,0.4,200,0.15,45,15,13,1,1,100.0,0.0,0.0
qxXYC15dmpc,rms,True,0.4,200,0.15,45,15,14,2,0,0.0,0.0,100.0
lbMs5zG4TbM,rms,True,0.4,200,0.15,45,15,13,1,1,100.0,0.0,0.0
MoBkkw66NWY,rms,True,0.4,200,0.15,45,15,14,3,1,14.3,0.0,92.3
ewKEe8pL8_w,rms,True,0.4,200,0.15,45,15,13,2,2,100.0,0.0,1.9
wdGLOmdpq_k,rms,True,0.4,200,0.15,45,15,13,1,1,100.0,0.0,0.0
4Z-KLkjICoY,rms,True,0.4,200,0.15,45,15,14,1,1,100.0,0.0,0.1
5hHM3LdKcRY,rms,True,0.4,200,0.15,45,15,14,1,0,0.0,0.0,100.0
yZMFBsYyJL0,rms,True,0.4,200,0.15,45,15,14,1,1,100.0,0.0,0.0
igUiMu6sZm0,rms,True,0.4,200,0.15,45,15,14,1,0,0.0,0.0,100.0
wQA68Oqr1qE,rms,False,0.4,200,0.15,45,15,13,4,4,100.0,0.0,11.6
8PtsKRBgLrA,rms,False,0.4,200,0.15,45,15,13,1,1,100.0,0.0,2.4
Tqsz6fjvhZM,rms,False,0.4,200,0.15,45,15,14,5,5,50.0,40.0,60.6
z12bz7adLKI,rms,False,0.4,200,0.15,45,15,13,3,3,100.0,0.0,9.3
EiL5bMvDkNA,rms,False,0.4,200,0.15,45,15,13,2,2,100.0,0.0,1.0
VgxHwN6qZxo,rms,False,0.4,200,0.15,45,15,13,1,1,100.0,0.0,0.0
ikr-zKaxSF0,rms,False,0.4,200,0.15,45,15,13,1,1,100.0,0.0,0.0
pzPCJj1U8bE,rms,False,0.4,200,0.15,45,15,13,1,1,100.0,0.0,0.0
GxLa6rdww8g,rms,False,0.4,200,0.15,45,15,14,1,1,100.0,0.0,0.0
pjSxOnCkHIA,rms,False,0.4,200,0.15,45,15,13,1,1,100.0,0.0,0.2
g1T8-WSYcdI,rms,False,0.4,200,0.15,45,15,13,1,1,100.0,0.0,0.0
0guSWBSO8lo,rms,False,0.4,200,0.15,45,15,13,1,1,100.0,0.0,0.0
_fWyWcZB7VA,rms,False,0.4,200,0.15,45,15,14,1,0,0.0,0.0,100.0
0bGQ_I5NXXo,rms,False,0.4,200,0.15,45,15,13,1,0,0.0,0.0,100.0
Ug-nsXBgCJk,rms,False,0.4,200,0.15,45,15,13,1,1,100.0,0.0,0.0
4JB24wITVEU,rms,False,0.4,200,0.15,45,15,13,1,1,100.0,0.0,0.0
5Q5QWdR42Is,rms,False,0.4,200,0.15,45,15,13,1,1,100.0,0.0,0.0
pqnhlrlrfmw,rms,False,0.4,200,0.15,45,15,14,1,1,100.0,0.0,0.0
IEfBBYmxtIo,rms,False,0.4,200,0.15,45,15,14,1,1,100.0,0.0,0.0
IcAV5qiko8M,rms,False,0.4,200,0.15,45,15,14,1,0,0.0,0.0,100.0
DZ6q5X7fAmU,rms,False,0.4,200,0.15,45,15,13,1,1,100.0,0.0,0.1
t8HrZTLRCeU,rms,False,0.4,200,0.15,45,15,14,1,0,0.0,0.0,100.0
MIoNEQeC7_s,rms,False,0.4,200,0.15,45,15,13,1,1,100.0,0.0,0.0
qxXYC15dmpc,rms,False,0.4,200,0.15,45,15,14,2,2,100.0,50.0,0.2
lbMs5zG4TbM,rms,False,0.4,200,0.15,45,15,13,1,1,100.0,0.0,0.0
MoBkkw66NWY,rms,False,0.4,200,0.15,45,15,14,3,2,28.6,0.0,72.4
ewKEe8pL8_w,rms,False,0.4,200,0.15,45,15,13,2,2,100.0,0.0,1.9
wdGLOmdpq_k,rms,False,0.4,200,0.15,45,15,13,1,1,100.0,0.0,0.0
4Z-KLkjICoY,rms,False,0.4,200,0.15,45,15,14,1,1,100.0,0.0,0.1
5hHM3LdKcRY,rms,False,0.4,200,0.15,45,15,14,1,0,0.0,0.0,100.0
yZMFBsYyJL0,rms,False,0.4,200,0.15,45,15,14,1,1,100.0,0.0,0.0
igUiMu6sZm0,rms,False,0.4,200,0.15,45,15,14,1,0,0.0,0.0,100.0
wQA68Oqr1qE,mfcc,True,0.4,200,0.15,45,15,13,1,0,0.0,0.0,100.0
